Module                  Size  Used by
processor_thermal_device    24576  1 processor_thermal_device_pci
i915                 4837376  59
processor_thermal_wt_hint    16384  2 processor_thermal_device_pci,processor_thermal_device
snd_seq_midi_event     16384  1 snd_seq_midi
rtw89_pci             106496  1 rtw89_8852be
videobuf2_vmalloc      20480  1 uvcvideo
platform_temperature_control    20480  1 processor_thermal_device
kvm                  1445888  1 kvm_intel
btusb                  77824  0
snd_rawmidi            57344  1 snd_seq_midi
uvc                    12288  1 uvcvideo
processor_thermal_soc_slider    16384  1 processor_thermal_device
btrtl                  32768  1 btusb
irqbypass              16384  1 kvm
rtw89_core           1167360  3 rtw89_8852b,rtw89_pci,rtw89_8852b_common
drm_buddy              28672  2 xe,i915
videobuf2_memops       16384  1 videobuf2_vmalloc
cmdlinepart            16384  0
snd_seq               122880  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
processor_thermal_rfim    40960  1 processor_thermal_device
btintel                69632  1 btusb
polyval_clmulni        12288  0
ov13858                24576  0
ttm                   126976  3 drm_ttm_helper,xe,i915
videobuf2_v4l2         36864  1 uvcvideo
intel_pmc_core        135168  0
spi_nor               167936  0
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
processor_thermal_rapl    16384  1 processor_thermal_device
ghash_clmulni_intel    12288  0
btbcm                  24576  1 btusb
mac80211             1851392  2 rtw89_core,rtw89_pci
intel_rapl_msr         20480  0
intel_rapl_common      53248  2 intel_rapl_msr,processor_thermal_rapl
btmtk                  36864  1 btusb
lenovo_wmi_other       20480  0
aesni_intel            98304  7
mei_hdcp               28672  0
mei_pxp                16384  0
mtd                    98304  3 spi_nor,cmdlinepart
pmt_telemetry          16384  1 intel_pmc_core
sch_fq_codel           24576  2
processor_thermal_wt_req    12288  1 processor_thermal_device
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
lenovo_wmi_helpers     12288  1 lenovo_wmi_other
i2c_i801               36864  0
videobuf2_common       86016  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
bluetooth            1032192  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
v4l2_fwnode            40960  1 ov13858
drm_display_helper    290816  2 xe,i915
rapl                   20480  0
cfg80211             1462272  3 rtw89_core,mac80211,rtw89_8852b_common
pmt_discovery          20480  1 pmt_telemetry
processor_thermal_power_floor    12288  2 processor_thermal_device_pci,processor_thermal_device
spi_intel_pci          12288  0
snd                   143360  27 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_sof,snd_soc_sdca,snd_timer,snd_hda_codec_realtek_lib,snd_compress,snd_hda_codec_alc269,snd_soc_core,snd_pcm,snd_rawmidi
mei_me                 53248  2
think_lmi              45056  0
lenovo_wmi_capdata01    12288  1 lenovo_wmi_other
i2c_smbus              20480  1 i2c_i801
v4l2_async             28672  2 v4l2_fwnode,ov13858
cec                    98304  3 drm_display_helper,xe,i915
intel_cstate           20480  0
pmt_class              20480  2 pmt_telemetry,pmt_discovery
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
lenovo_wmi_hotkey_utilities    12288  0
wmi_bmof               12288  0
int3403_thermal        16384  0
libarc4                12288  1 mac80211
spi_intel              36864  1 spi_intel_pci
soundcore              16384  2 snd_ctl_led,snd
i2c_mux                12288  1 i2c_i801
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
rc_core                73728  1 cec
videodev              364544  5 v4l2_async,v4l2_fwnode,videobuf2_v4l2,ov13858,uvcvideo
ideapad_laptop         53248  0
intel_pmc_ssram_telemetry    16384  1 intel_pmc_core
firmware_attributes_class    12288  2 lenovo_wmi_other,think_lmi
int3400_thermal        24576  0
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
input_leds             12288  0
intel_hid              32768  0
mc                     81920  6 v4l2_async,videodev,videobuf2_v4l2,ov13858,uvcvideo,videobuf2_common
i2c_algo_bit           16384  2 xe,i915
platform_profile       20480  2 ideapad_laptop,processor_thermal_soc_slider
joydev                 32768  0
intel_vsec             24576  3 intel_pmc_ssram_telemetry,pmt_telemetry,xe
acpi_thermal_rel       24576  1 int3400_thermal
acpi_pad              184320  0
acpi_tad               20480  0
sparse_keymap          12288  2 intel_hid,ideapad_laptop
serio_raw              20480  0
mac_hid                12288  0
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     32768  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  5 nft_compat,nf_tables,ip_set
dmi_sysfs              20480  0
ip_tables              32768  0
x_tables               65536  6 xt_conntrack,nft_compat,xt_addrtype,xt_set,ip_tables,xt_MASQUERADE
autofs4                57344  2
usbhid                 77824  0
ucsi_acpi              12288  0
hid_multitouch         36864  0
typec_ucsi             69632  1 ucsi_acpi
hid_generic            12288  0
typec                 118784  1 typec_ucsi
nvme                   61440  4
